,Name,Discounted Price,Market Price,Ratings,Processor,Ram,OS,Hard Disk,Display,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Spec7
277,Asus ROG Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX ...,"₹1,46,490",N/A,3,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"Gaming Center, ROG Game First III, ICEsound",1 Year Onsite Warranty,,,,
278,Lenovo Legion Y530 Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,"₹1,04,290",N/A,N/A,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,"Lenovo App Explorer, Lenovo Companion 3.0",1 Year Onsite Warranty,,,,,
279,Asus ZenBook Classic Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A5822TS Thin and Lig...,"₹79,990","₹98,990",N/A,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,"Asus Splendid, Microsoft Office Home and Student 2019",1 Year Onsite Warranty,,,,,
280,Lenovo Core i7 6th Gen - (8 GB/512 GB SSD/Windows 10 Home) Yoga 900 2 in 1 Laptop,"₹1,28,690",N/A,3.7,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (6th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,3 Years Onsite Warranty,,,,,
281,HP Chromebook x360 Core i5 8th Gen - (8 GB/64 GB EMMC Storage/Chrome OS) 14-da0004TU 2 in 1 Laptop,"₹54,490","₹61,975",4.2,64 GB eMMC + 100 GB Cloud Storage,"Access Favorite Apps from Google Play (Like Google Drive, Gmail, YouTube, Whatsapp, MS Office)",Inbuilt Google Assistant,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Chrome Operating System,35.56 cm (14 inch) Touchscreen Display,"HP Audio Switch, Google Chrome, Google Play Store, Google Map, YouTube, Google Photo, Google Docs, Google Spreadsheet, Google Play Music",1 Year Onsite Warranty,,,
282,Lenovo B50-70 Notebook (4th Gen Ci5/ 8GB/ 1TB/ Win8/ 2GB Graph) (59-427747),"₹52,490",N/A,3.8,Intel Core i5 Processor (4th Gen),8 GB DDR3 RAM,64 bit Windows 8 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"Please Register your Warranty: http://support.lenovo.com/us/en/contactus/basewarrantyregistration, 1 Year Warranty Warranty to be Registered within 30 Days from the Date of Purchase",,,,,,
283,Avita Liber Core i7 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) NS14A2IN241P Thin and Light Laptop,"₹75,990","₹79,990",N/A,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),,,,,,
284,HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,"₹1,02,551",N/A,N/A,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,"Cyberlink Power Media Player, Omen Audio Control, Omen Command Center, Support Assistant 8.0, Recovery Manager Installer for Windows 10",1 Year Onsite Warranty,,,,
285,Asus ZenBook 14 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX433FA-A6111T Thin and Light Lapt...,"₹85,990","₹99,990",4.5,Intel Core i7 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Asus Splendid,1 Year Onsite Warranty,,,,,
286,Asus ZenBook 13 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4117T Thin and Light Lapt...,"₹72,990","₹86,990",4.1,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,Asus Splendid,1 Year Onsite Warranty,,,,,
287,MSI GE75 Raider Core i7 10th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA Gefor...,"₹2,87,990","₹3,02,990",N/A,Intel Core i7 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|1 TB SSD,43.94 cm (17.3 inch) Display,"Shift, Cooler Boost 5, True Color 2.0, Nahimic 3",2 Year Carry In Warranty,,,,,
